datetime,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day,sunshine_duration
2025-08-30 00:00:00,21.9,59,13.7,23.0,0.0,0.0,1014.2,1003.1,0,0.5,225,3.6,0,0.0
2025-08-30 01:00:00,21.3,64,14.1,22.5,0.0,0.0,1013.8,1002.7,0,0.9,191,2.9,0,0.0
2025-08-30 02:00:00,20.8,68,14.7,22.2,0.0,0.0,1013.9,1002.8,0,0.8,207,2.9,0,0.0
2025-08-30 03:00:00,20.2,73,15.1,21.8,0.0,0.0,1013.9,1002.8,0,0.9,191,2.9,0,0.0
2025-08-30 04:00:00,19.6,77,15.5,21.4,0.0,0.0,1013.8,1002.6,0,0.2,180,2.9,0,0.0
2025-08-30 05:00:00,19.6,73,14.6,21.0,0.0,0.0,1013.5,1002.3,0,0.7,346,1.4,0,0.0
2025-08-30 06:00:00,20.2,73,15.1,21.8,0.0,0.0,1013.8,1002.7,0,0.6,108,1.4,1,31.1
2025-08-30 07:00:00,22.9,56,13.7,23.9,0.0,0.0,1013.9,1002.9,0,1.1,189,7.2,1,3600.0
2025-08-30 08:00:00,25.7,42,11.7,26.0,0.0,0.0,1014.0,1003.1,0,1.7,162,11.5,1,3600.0
2025-08-30 09:00:00,28.5,32,10.1,28.1,0.0,0.0,1013.7,1002.9,0,2.9,150,15.8,1,3600.0
2025-08-30 10:00:00,31.2,27,10.2,31.8,0.0,0.0,1013.3,1002.6,0,3.7,166,18.4,1,3600.0
2025-08-30 11:00:00,33.4,26,11.0,34.7,0.0,0.0,1012.7,1002.0,0,5.5,199,21.6,1,3600.0
2025-08-30 12:00:00,34.8,25,11.6,36.1,0.0,0.0,1011.9,1001.3,0,8.4,215,27.0,1,3600.0
2025-08-30 13:00:00,35.5,22,10.4,35.8,0.0,0.0,1011.4,1000.8,0,12.0,226,33.1,1,3600.0
2025-08-30 14:00:00,33.9,23,10.1,33.2,0.0,0.0,1011.1,1000.5,0,15.0,230,39.6,1,3600.0
2025-08-30 15:00:00,32.4,26,10.4,31.2,0.0,0.0,1010.8,1000.1,0,13.7,231,39.6,1,3600.0
2025-08-30 16:00:00,31.7,26,10.1,30.2,0.0,0.0,1010.5,999.8,0,10.6,236,35.6,1,3600.0
2025-08-30 17:00:00,30.4,30,10.8,29.3,0.0,0.0,1010.1,999.4,0,9.3,226,28.8,1,3600.0
2025-08-30 18:00:00,28.3,35,11.3,27.5,0.0,0.0,1010.2,999.4,0,8.3,219,23.8,1,3380.24
2025-08-30 19:00:00,25.4,48,13.8,25.7,0.0,0.0,1010.7,999.8,0,6.1,223,19.8,0,0.0
2025-08-30 20:00:00,23.7,61,15.8,25.0,0.0,0.0,1011.5,1000.5,0,4.2,205,15.1,0,0.0
2025-08-30 21:00:00,23.1,68,16.9,24.9,0.0,0.0,1011.9,1000.9,0,3.9,202,12.2,0,0.0
