datetime,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day,sunshine_duration
2025-07-01 00:00:00,16.7,89,14.8,17.5,0.0,0.0,1011.7,1000.4,0,5.2,164,13.0,0,0.0
2025-07-01 01:00:00,16.2,91,14.7,17.0,0.0,0.0,1011.7,1000.4,3,5.0,165,12.6,0,0.0
2025-07-01 02:00:00,15.7,93,14.6,16.7,0.0,0.0,1011.7,1000.4,0,2.9,180,11.5,0,0.0
2025-07-01 03:00:00,15.2,96,14.5,16.4,0.0,0.0,1011.8,1000.5,0,1.5,187,7.6,0,0.0
2025-07-01 04:00:00,14.8,97,14.3,16.0,0.0,0.0,1011.7,1000.4,3,1.3,196,5.4,0,0.0
2025-07-01 05:00:00,14.7,98,14.4,15.8,0.0,0.0,1012.1,1000.8,100,2.2,204,7.2,1,0.0
2025-07-01 06:00:00,15.4,93,14.2,16.3,0.0,0.0,1012.5,1001.2,44,2.7,212,11.2,1,2507.73
2025-07-01 07:00:00,16.8,82,13.7,17.6,0.0,0.0,1012.5,1001.2,37,2.8,207,14.0,1,3600.0
2025-07-01 08:00:00,19.3,68,13.3,19.8,0.0,0.0,1012.4,1001.2,0,3.5,159,17.3,1,3600.0
2025-07-01 09:00:00,22.2,56,12.9,23.0,0.0,0.0,1012.1,1001.1,0,5.0,154,21.2,1,3600.0
2025-07-01 10:00:00,25.1,46,12.8,26.8,0.0,0.0,1011.9,1001.0,0,5.6,174,22.7,1,3600.0
2025-07-01 11:00:00,27.1,42,13.2,29.1,0.0,0.0,1011.4,1000.5,0,8.5,212,28.1,1,3600.0
2025-07-01 12:00:00,27.8,41,13.5,29.7,0.0,0.0,1010.8,1000.0,0,11.3,234,33.8,1,3600.0
2025-07-01 13:00:00,28.0,39,12.7,29.6,0.0,0.0,1010.5,999.7,0,11.8,232,35.3,1,3600.0
2025-07-01 14:00:00,28.1,37,12.2,29.2,0.0,0.0,1009.9,999.1,0,11.3,226,34.9,1,3600.0
2025-07-01 15:00:00,27.3,39,12.1,27.7,0.0,0.0,1009.4,998.6,0,11.5,221,33.8,1,3600.0
2025-07-01 16:00:00,25.6,42,11.7,24.9,0.0,0.0,1009.0,998.1,0,11.7,225,34.2,1,3600.0
2025-07-01 17:00:00,23.5,48,11.8,22.7,0.0,0.0,1009.1,998.1,0,9.2,220,32.8,1,3600.0
2025-07-01 18:00:00,21.8,55,12.4,21.4,0.0,0.0,1009.3,998.3,0,7.8,217,26.6,1,3600.0
2025-07-01 19:00:00,19.6,67,13.2,19.4,0.0,0.0,1009.5,998.4,4,8.1,217,23.0,1,2477.86
2025-07-01 20:00:00,17.9,76,13.6,18.0,0.0,0.0,1009.7,998.5,7,7.4,225,21.2,0,0.0
2025-07-01 21:00:00,17.1,81,13.8,17.3,0.0,0.0,1010.4,999.2,2,6.8,217,19.4,0,0.0
2025-07-01 22:00:00,16.5,85,13.9,16.9,0.0,0.0,1010.9,999.6,11,6.1,227,18.7,0,0.0
2025-07-01 23:00:00,16.2,87,14.0,16.8,0.0,0.0,1011.2,999.9,21,4.2,223,15.8,0,0.0
2025-07-02 00:00:00,15.7,89,13.9,16.5,0.0,0.0,1011.0,999.7,4,3.1,177,12.2,0,0.0
2025-07-02 01:00:00,15.5,90,13.9,16.4,0.0,0.0,1011.1,999.8,1,2.0,207,9.0,0,0.0
2025-07-02 02:00:00,15.3,91,13.9,16.3,0.0,0.0,1010.7,999.4,3,2.0,135,6.5,0,0.0
2025-07-02 03:00:00,15.1,92,13.8,16.0,0.0,0.0,1010.9,999.6,1,1.7,108,6.1,0,0.0
2025-07-02 04:00:00,14.9,93,13.8,15.9,0.0,0.0,1011.3,1000.0,0,1.3,196,4.3,0,0.0
2025-07-02 05:00:00,15.2,92,13.9,16.0,0.0,0.0,1011.0,999.7,99,3.2,180,8.6,1,0.0
2025-07-02 06:00:00,15.7,88,13.8,16.3,0.0,0.0,1011.6,1000.3,100,3.6,177,12.6,1,1406.78
2025-07-02 07:00:00,16.3,84,13.5,16.8,0.0,0.0,1012.0,1000.7,98,4.3,147,16.2,1,0.0
2025-07-02 08:00:00,18.4,71,13.2,18.9,0.0,0.0,1012.1,1000.9,48,3.3,131,16.6,1,3600.0
2025-07-02 09:00:00,21.4,58,12.8,22.1,0.0,0.0,1012.1,1001.0,2,4.2,144,19.8,1,3600.0
2025-07-02 10:00:00,24.0,49,12.8,25.8,0.0,0.0,1011.7,1000.7,1,5.0,182,22.0,1,3600.0
2025-07-02 11:00:00,26.3,43,12.7,28.3,0.0,0.0,1011.3,1000.4,0,7.1,204,25.9,1,3600.0
2025-07-02 12:00:00,27.4,41,13.0,29.3,0.0,0.0,1010.5,999.7,0,10.2,214,31.7,1,3600.0
2025-07-02 13:00:00,27.0,42,13.1,28.5,0.0,0.0,1010.3,999.4,0,12.6,223,36.7,1,3600.0
2025-07-02 14:00:00,26.9,40,12.2,27.8,0.0,0.0,1009.9,999.0,0,12.1,220,36.7,1,3600.0
2025-07-02 15:00:00,26.3,40,11.5,26.4,0.0,0.0,1009.4,998.5,0,11.9,219,35.3,1,3600.0
2025-07-02 16:00:00,25.2,43,11.9,24.7,0.0,0.0,1009.1,998.2,4,10.5,219,34.2,1,3600.0
2025-07-02 17:00:00,23.3,51,12.6,22.6,0.0,0.0,1009.2,998.2,0,10.0,214,28.4,1,3600.0
2025-07-02 18:00:00,21.3,58,12.8,20.9,0.0,0.0,1009.7,998.6,0,8.4,220,28.8,1,3600.0
2025-07-02 19:00:00,20.1,64,13.1,20.0,0.0,0.0,1010.3,999.2,0,7.0,198,23.4,1,2474.69
2025-07-02 20:00:00,18.9,70,13.4,19.1,0.0,0.0,1010.9,999.7,1,6.1,192,19.4,0,0.0
2025-07-02 21:00:00,18.2,74,13.4,18.4,0.0,0.0,1011.6,1000.4,0,5.9,157,16.9,0,0.0
2025-07-02 22:00:00,17.7,75,13.3,18.0,0.0,0.0,1012.2,1001.0,2,4.6,132,15.8,0,0.0
2025-07-02 23:00:00,17.2,78,13.4,17.4,0.0,0.0,1012.1,1000.9,10,5.5,142,14.4,0,0.0
2025-07-03 00:00:00,16.6,82,13.5,17.0,0.0,0.0,1011.8,1000.5,12,4.8,153,14.0,0,0.0
2025-07-03 01:00:00,16.4,84,13.6,17.1,0.0,0.0,1011.6,1000.3,14,3.4,164,11.5,0,0.0
2025-07-03 02:00:00,16.2,85,13.6,17.0,0.0,0.0,1011.2,999.9,15,2.7,152,11.2,0,0.0
2025-07-03 03:00:00,16.0,87,13.7,17.1,0.0,0.0,1011.3,1000.0,6,0.5,270,7.9,0,0.0
2025-07-03 04:00:00,15.7,87,13.5,16.7,0.0,0.0,1011.6,1000.3,12,1.2,321,6.1,0,0.0
2025-07-03 05:00:00,16.2,84,13.5,16.5,0.0,0.0,1011.8,1000.5,19,5.7,136,16.9,1,0.0
2025-07-03 06:00:00,16.5,82,13.5,17.1,0.0,0.0,1012.3,1001.0,45,3.8,109,15.8,1,0.0
2025-07-03 07:00:00,17.6,77,13.6,18.0,0.0,0.0,1012.7,1001.5,12,4.5,119,17.3,1,3352.77
2025-07-03 08:00:00,19.9,67,13.5,20.3,0.0,0.0,1013.2,1002.1,1,4.8,138,19.4,1,3600.0
2025-07-03 09:00:00,22.0,58,13.4,22.7,0.0,0.0,1013.0,1001.9,3,5.4,159,22.0,1,3600.0
2025-07-03 10:00:00,24.1,51,13.3,25.8,0.0,0.0,1012.9,1001.9,5,5.7,169,23.8,1,3600.0
2025-07-03 11:00:00,26.5,43,13.1,28.7,0.0,0.0,1012.7,1001.8,2,6.7,183,25.6,1,3600.0
2025-07-03 12:00:00,28.3,39,12.9,30.2,0.0,0.0,1012.4,1001.6,0,9.6,193,30.2,1,3600.0
2025-07-03 13:00:00,28.5,39,13.3,30.2,0.0,0.0,1012.0,1001.2,0,11.6,201,34.2,1,3600.0
2025-07-03 14:00:00,28.0,41,13.4,29.4,0.0,0.0,1012.0,1001.2,0,11.3,211,34.2,1,3600.0
2025-07-03 15:00:00,27.0,44,13.6,27.9,0.0,0.0,1012.0,1001.1,0,11.0,214,34.2,1,3600.0
2025-07-03 16:00:00,26.0,46,13.6,26.2,0.0,0.0,1012.0,1001.1,0,9.7,211,32.8,1,3600.0
2025-07-03 17:00:00,24.7,51,13.8,24.4,0.0,0.0,1011.9,1000.9,0,10.6,214,30.6,1,3600.0
2025-07-03 18:00:00,22.9,57,13.8,22.8,0.0,0.0,1012.5,1001.5,0,9.0,218,29.9,1,3600.0
2025-07-03 19:00:00,21.2,63,14.0,21.4,0.0,0.0,1013.0,1001.9,0,7.1,214,24.5,1,2469.8
2025-07-03 20:00:00,20.0,69,14.1,20.5,0.0,0.0,1013.5,1002.4,0,5.9,200,19.1,0,0.0
2025-07-03 21:00:00,19.2,73,14.3,19.8,0.0,0.0,1014.3,1003.1,1,5.0,210,15.5,0,0.0
2025-07-03 22:00:00,18.4,77,14.4,19.2,0.0,0.0,1014.8,1003.6,0,4.3,213,14.4,0,0.0
2025-07-03 23:00:00,17.9,81,14.5,18.7,0.0,0.0,1015.1,1003.9,12,4.1,193,12.2,0,0.0
2025-07-04 00:00:00,17.3,84,14.5,18.3,0.0,0.0,1015.2,1003.9,33,3.5,201,11.5,0,0.0
2025-07-04 01:00:00,16.9,86,14.5,17.8,0.0,0.0,1015.2,1003.9,12,3.5,219,10.1,0,0.0
2025-07-04 02:00:00,16.6,87,14.5,17.6,0.0,0.0,1014.9,1003.6,91,3.0,256,9.7,0,0.0
2025-07-04 03:00:00,16.4,88,14.4,17.6,0.0,0.0,1015.4,1004.1,100,2.0,280,7.9,0,0.0
2025-07-04 04:00:00,16.4,88,14.4,17.6,0.0,0.0,1016.0,1004.7,55,1.8,294,6.1,0,0.0
2025-07-04 05:00:00,17.2,85,14.7,18.6,0.0,0.0,1015.5,1004.2,64,1.0,292,6.5,1,0.0
2025-07-04 06:00:00,17.6,83,14.7,18.9,0.0,0.0,1015.9,1004.6,40,1.4,270,8.3,1,2768.61
2025-07-04 07:00:00,19.1,75,14.7,20.3,0.0,0.0,1016.2,1005.0,26,2.7,242,13.0,1,3600.0
2025-07-04 08:00:00,21.1,66,14.6,22.0,0.0,0.0,1016.5,1005.4,12,4.0,234,17.3,1,3600.0
2025-07-04 09:00:00,23.5,57,14.5,24.8,0.0,0.0,1016.2,1005.2,5,4.4,212,19.4,1,3600.0
2025-07-04 10:00:00,26.0,48,14.2,28.1,0.0,0.0,1016.2,1005.2,3,5.3,198,22.0,1,3600.0
2025-07-04 11:00:00,28.3,42,14.0,30.7,0.0,0.0,1015.9,1005.0,1,6.9,197,25.2,1,3600.0
2025-07-04 12:00:00,29.6,39,14.1,32.0,0.0,0.0,1015.7,1004.9,0,9.2,211,29.2,1,3600.0
2025-07-04 13:00:00,29.8,39,14.4,32.1,0.0,0.0,1015.4,1004.6,0,10.8,218,32.4,1,3600.0
2025-07-04 14:00:00,29.5,39,14.2,31.1,0.0,0.0,1015.2,1004.4,0,11.9,222,34.6,1,3600.0
2025-07-04 15:00:00,28.7,40,13.7,29.5,0.0,0.0,1014.9,1004.1,0,12.2,225,34.9,1,3600.0
2025-07-04 16:00:00,27.6,41,13.2,27.2,0.0,0.0,1014.6,1003.7,0,12.4,222,34.9,1,3600.0
2025-07-04 17:00:00,26.5,43,13.0,25.9,0.0,0.0,1014.4,1003.5,0,10.5,217,32.0,1,3600.0
2025-07-04 18:00:00,24.3,50,13.3,23.9,0.0,0.0,1014.7,1003.7,0,9.6,220,28.4,1,3600.0
2025-07-04 19:00:00,22.0,61,14.1,22.2,0.0,0.0,1015.1,1004.0,0,7.8,214,24.8,1,2463.11
2025-07-04 20:00:00,20.6,69,14.7,21.2,0.0,0.0,1015.8,1004.6,0,6.4,198,19.1,0,0.0
2025-07-04 21:00:00,19.6,75,15.0,20.5,0.0,0.0,1016.6,1005.4,0,4.9,180,16.6,0,0.0
2025-07-04 22:00:00,18.9,78,15.0,20.0,0.0,0.0,1016.9,1005.7,0,3.7,191,13.0,0,0.0
2025-07-04 23:00:00,18.5,80,15.0,19.7,0.0,0.0,1017.1,1005.9,0,3.1,211,10.4,0,0.0
2025-07-05 00:00:00,18.0,83,15.1,19.3,0.0,0.0,1017.0,1005.7,0,2.9,210,8.6,0,0.0
2025-07-05 01:00:00,17.5,86,15.2,18.9,0.0,0.0,1016.9,1005.6,0,2.2,180,7.6,0,0.0
2025-07-05 02:00:00,17.0,90,15.3,18.4,0.0,0.0,1016.6,1005.3,0,2.0,153,5.8,0,0.0
2025-07-05 03:00:00,16.5,93,15.4,18.0,0.0,0.0,1016.7,1005.4,0,2.2,156,5.4,0,0.0
2025-07-05 04:00:00,16.0,95,15.2,17.5,0.0,0.0,1016.9,1005.6,0,1.7,148,5.4,0,0.0
2025-07-05 05:00:00,16.1,96,15.5,17.3,0.0,0.0,1017.6,1006.3,100,3.9,164,9.7,1,0.0
2025-07-05 06:00:00,16.5,93,15.3,17.8,0.0,0.0,1017.9,1006.6,98,3.2,161,11.5,1,2329.65
2025-07-05 07:00:00,18.0,84,15.2,19.4,0.0,0.0,1018.1,1006.8,19,2.4,171,12.6,1,3600.0
2025-07-05 08:00:00,20.8,69,15.0,22.0,0.0,0.0,1018.0,1006.8,3,2.6,192,14.8,1,3600.0
2025-07-05 09:00:00,24.1,55,14.5,25.6,0.0,0.0,1017.6,1006.6,0,4.0,180,18.4,1,3600.0
2025-07-05 10:00:00,27.4,42,13.3,29.2,0.0,0.0,1017.4,1006.5,0,6.1,178,22.7,1,3600.0
2025-07-05 11:00:00,30.2,29,10.0,31.3,0.0,0.0,1016.8,1006.0,0,8.1,184,26.6,1,3600.0
2025-07-05 12:00:00,31.7,24,8.8,32.5,0.0,0.0,1016.3,1005.5,0,9.5,190,29.5,1,3600.0
2025-07-05 13:00:00,32.1,25,9.9,33.1,0.0,0.0,1015.7,1005.0,0,10.5,197,31.7,1,3600.0
2025-07-05 14:00:00,31.8,28,11.2,32.6,0.0,0.0,1015.1,1004.4,0,11.6,208,33.1,1,3600.0
2025-07-05 15:00:00,30.5,32,12.1,30.8,0.0,0.0,1014.9,1004.1,0,12.1,221,34.6,1,3600.0
2025-07-05 16:00:00,29.0,34,11.5,28.3,0.0,0.0,1014.6,1003.8,0,11.0,228,34.2,1,3600.0
2025-07-05 17:00:00,27.7,36,11.3,26.7,0.0,0.0,1014.4,1003.5,0,9.6,223,30.2,1,3600.0
2025-07-05 18:00:00,25.9,41,11.6,25.1,0.0,0.0,1014.6,1003.7,0,8.1,215,26.6,1,3600.0
2025-07-05 19:00:00,23.5,50,12.4,23.3,0.0,0.0,1014.8,1003.8,0,6.3,217,21.6,1,2454.58
2025-07-05 20:00:00,22.0,56,12.8,22.1,0.0,0.0,1015.0,1003.9,0,4.8,207,15.8,0,0.0
2025-07-05 21:00:00,21.0,60,13.1,21.4,0.0,0.0,1015.5,1004.4,0,3.8,183,12.2,0,0.0
2025-07-05 22:00:00,20.1,65,13.3,20.6,0.0,0.0,1015.6,1004.4,0,3.7,191,9.7,0,0.0
2025-07-05 23:00:00,19.2,69,13.5,19.7,0.0,0.0,1015.5,1004.3,0,3.9,202,9.7,0,0.0
2025-07-06 00:00:00,18.3,74,13.6,18.9,0.0,0.0,1015.0,1003.8,0,3.2,207,9.7,0,0.0
2025-07-06 01:00:00,17.5,78,13.7,18.4,0.0,0.0,1015.0,1003.7,0,2.2,194,8.3,0,0.0
2025-07-06 02:00:00,16.8,82,13.7,17.7,0.0,0.0,1014.7,1003.4,0,1.8,156,6.5,0,0.0
2025-07-06 03:00:00,16.3,85,13.8,17.2,0.0,0.0,1014.7,1003.4,0,1.7,148,5.4,0,0.0
2025-07-06 04:00:00,15.9,87,13.8,16.7,0.0,0.0,1014.7,1003.4,0,2.7,152,5.8,0,0.0
2025-07-06 05:00:00,15.8,93,14.7,16.8,0.0,0.0,1014.9,1003.6,19,3.8,163,9.0,1,0.0
2025-07-06 06:00:00,16.4,91,14.9,17.5,0.0,0.0,1015.2,1003.9,33,3.1,180,10.8,1,2714.86
2025-07-06 07:00:00,18.1,80,14.6,19.1,0.0,0.0,1015.4,1004.2,8,2.9,187,13.7,1,3600.0
2025-07-06 08:00:00,20.2,68,14.2,21.0,0.0,0.0,1015.2,1004.0,3,3.7,194,17.3,1,3600.0
2025-07-06 09:00:00,23.1,54,13.2,24.1,0.0,0.0,1014.8,1003.8,1,4.2,185,19.4,1,3600.0
