datetime,pm25,pm10,no2,so2,co,o3
2025-10-26 00:00:00+00:00,18.3,29.0,0.0102,0.0,0.3,0.053
2025-10-26 01:00:00+00:00,14.1,27.0,0.0096,0.0,0.3,0.047
2025-10-26 02:00:00+00:00,14.8,26.0,0.0096,0.0,0.3,0.043
2025-10-26 03:00:00+00:00,13.7,27.0,0.0094,0.0,0.3,0.043
2025-10-26 04:00:00+00:00,19.1,27.0,0.0111,0.0,0.3,0.036
2025-10-26 05:00:00+00:00,16.1,32.0,0.0138,0.0,0.4,0.029
2025-10-26 06:00:00+00:00,18.3,30.0,0.0168,0.0,0.4,0.021
2025-10-26 07:00:00+00:00,19.0,33.0,0.0224,0.0,0.6,0.013
2025-10-26 08:00:00+00:00,20.2,34.0,0.027,0.0,0.7,0.003
2025-10-26 09:00:00+00:00,22.2,36.0,0.0229,0.0,0.7,0.004
2025-10-26 10:00:00+00:00,22.5,42.0,0.0179,0.0,0.3,0.021
2025-10-26 11:00:00+00:00,26.2,42.0,0.0145,0.0,0.4,0.024
2025-10-26 12:00:00+00:00,24.5,41.0,0.0136,0.0,0.3,0.025
2025-10-26 13:00:00+00:00,30.9,49.0,0.0147,0.0,0.4,0.022
2025-10-26 14:00:00+00:00,31.6,51.0,0.0153,0.0,0.4,0.019
2025-10-26 15:00:00+00:00,30.4,45.0,0.017,0.0,0.4,0.017
2025-10-26 16:00:00+00:00,31.2,50.0,0.0178,0.0,0.5,0.02
2025-10-26 17:00:00+00:00,41.4,58.0,0.02,0.0,0.5,0.021
2025-10-26 18:00:00+00:00,39.3,65.0,0.0195,0.0,0.5,0.03
2025-10-26 19:00:00+00:00,37.1,57.0,0.015,0.0,0.4,0.044
2025-10-26 20:00:00+00:00,36.2,49.0,0.0141,0.0,0.4,0.06
2025-10-26 21:00:00+00:00,34.8,52.0,0.0148,0.0001,0.4,0.061
2025-10-26 22:00:00+00:00,31.9,44.0,0.0133,0.0001,0.4,0.061
2025-10-26 23:00:00+00:00,24.4,41.0,0.0119,0.0001,0.3,0.06
2025-10-27 00:00:00+00:00,16.8,27.0,0.011,0.0001,0.3,0.052
2025-10-27 01:00:00+00:00,18.3,28.0,0.01,0.0,0.3,0.048
2025-10-27 02:00:00+00:00,15.9,30.0,0.0122,0.0,0.3,0.039
