datetime,pm25,pm10,no2,so2,co,o3
2025-10-05 00:00:00+00:00,7.2,29.0,0.0037,0.0001,0.2,0.046
2025-10-05 01:00:00+00:00,5.4,25.0,0.0042,0.0,0.2,0.044
2025-10-05 02:00:00+00:00,6.6,28.0,0.0055,0.0,0.2,0.046
2025-10-05 03:00:00+00:00,9.4,33.0,0.0071,0.0,0.3,0.045
2025-10-05 04:00:00+00:00,12.5,38.0,0.0121,0.0,0.4,0.032
2025-10-05 05:00:00+00:00,12.8,43.0,0.0187,0.0,0.6,0.02
2025-10-05 06:00:00+00:00,10.6,33.0,0.0163,0.0,0.5,0.021
2025-10-05 07:00:00+00:00,11.3,33.0,0.0152,0.0,0.4,0.019
2025-10-05 08:00:00+00:00,10.5,33.0,0.0201,0.0,0.5,0.007
2025-10-05 09:00:00+00:00,10.0,30.0,0.0197,0.0,0.6,0.007
2025-10-05 10:00:00+00:00,11.4,27.0,0.0245,0.0001,0.6,0.001
2025-10-05 11:00:00+00:00,12.3,31.0,0.0216,0.0,0.6,0.001
2025-10-05 12:00:00+00:00,14.3,26.0,0.0192,0.0,0.5,0.0
2025-10-05 13:00:00+00:00,13.1,29.0,0.0183,0.0,0.5,0.001
2025-10-05 14:00:00+00:00,12.5,27.0,0.0174,0.0001,0.6,0.002
2025-10-05 15:00:00+00:00,13.8,23.0,0.0173,0.0002,0.5,0.013
2025-10-05 16:00:00+00:00,10.2,26.0,0.0101,0.0002,0.3,0.03
2025-10-05 17:00:00+00:00,9.5,30.0,0.0101,0.0004,0.3,0.037
2025-10-05 18:00:00+00:00,13.6,31.0,0.0109,0.0005,0.2,0.042
2025-10-05 19:00:00+00:00,10.4,28.0,0.0081,0.0004,0.2,0.055
2025-10-05 20:00:00+00:00,16.0,31.0,0.0057,0.0003,0.2,0.069
2025-10-05 21:00:00+00:00,12.6,34.0,0.0078,0.0004,0.2,0.064
2025-10-05 22:00:00+00:00,12.3,32.0,0.0062,0.0004,0.2,0.06
2025-10-05 23:00:00+00:00,9.9,30.0,0.005,0.0002,0.2,0.054
2025-10-06 00:00:00+00:00,10.2,27.0,0.0045,0.0002,0.2,0.051
2025-10-06 01:00:00+00:00,9.6,29.0,0.0044,0.0,0.2,0.043
2025-10-06 02:00:00+00:00,9.1,28.0,0.0053,0.0,0.2,0.033
2025-10-06 03:00:00+00:00,7.3,21.0,0.005,0.0,0.2,0.031
2025-10-06 04:00:00+00:00,6.3,22.0,0.0055,0.0,0.2,0.028
2025-10-06 05:00:00+00:00,4.4,19.0,0.0111,0.0,0.4,0.017
2025-10-06 06:00:00+00:00,5.9,25.0,0.0152,0.0001,0.4,0.01
2025-10-06 07:00:00+00:00,9.4,23.0,0.0185,0.0,0.5,0.005
2025-10-06 08:00:00+00:00,11.5,24.0,0.0206,0.0,0.5,0.001
2025-10-06 09:00:00+00:00,8.4,28.0,0.0212,0.0001,0.5,0.0
2025-10-06 10:00:00+00:00,6.3,22.0,0.0181,0.0,0.4,0.0
2025-10-06 11:00:00+00:00,7.6,23.0,0.0167,0.0,0.5,0.0
2025-10-06 12:00:00+00:00,10.1,27.0,0.0181,0.0001,0.5,0.0
2025-10-06 13:00:00+00:00,10.6,31.0,0.0228,0.0001,0.6,0.0
2025-10-06 14:00:00+00:00,12.1,26.0,0.0214,0.0,0.4,0.008
2025-10-06 15:00:00+00:00,10.4,32.0,0.0132,0.0,0.3,0.018
2025-10-06 16:00:00+00:00,14.1,35.0,0.0143,0.0,0.3,0.02
2025-10-06 17:00:00+00:00,12.7,31.0,0.0138,0.0,0.3,0.024
2025-10-06 18:00:00+00:00,14.6,36.0,0.0152,0.0,0.4,0.029
2025-10-06 19:00:00+00:00,14.6,47.0,0.0172,0.0,0.4,0.038
2025-10-06 20:00:00+00:00,15.4,40.0,0.0106,0.0,0.4,0.056
2025-10-06 21:00:00+00:00,21.1,48.0,0.0115,0.0002,0.4,0.056
2025-10-06 22:00:00+00:00,19.0,44.0,0.0076,0.0001,0.3,0.058
2025-10-06 23:00:00+00:00,11.6,29.0,0.0048,0.0,0.2,0.046
2025-10-07 00:00:00+00:00,9.6,20.0,0.0042,0.0,0.2,0.039
2025-10-07 01:00:00+00:00,6.8,25.0,0.0049,0.0,0.2,0.037
2025-10-07 02:00:00+00:00,7.4,25.0,0.0053,0.0,0.2,0.038
2025-10-07 03:00:00+00:00,7.2,21.0,0.0041,0.0,0.2,0.038
2025-10-07 04:00:00+00:00,8.2,21.0,0.004,0.0,0.2,0.037
2025-10-07 05:00:00+00:00,6.8,25.0,0.0069,0.0,0.3,0.029
2025-10-07 06:00:00+00:00,10.3,26.0,0.0182,0.0,0.4,0.013
2025-10-07 07:00:00+00:00,7.1,19.0,0.0107,0.0,0.3,0.023
2025-10-07 08:00:00+00:00,6.1,25.0,0.0125,0.0,0.3,0.014
2025-10-07 09:00:00+00:00,11.1,26.0,0.0157,0.0,0.4,0.008
2025-10-07 10:00:00+00:00,7.5,26.0,0.0143,0.0,0.3,0.013
2025-10-07 11:00:00+00:00,6.5,22.0,0.0065,0.0,0.2,0.025
2025-10-07 12:00:00+00:00,7.8,24.0,0.0051,0.0,0.2,0.03
2025-10-07 13:00:00+00:00,11.0,29.0,0.0069,0.0,0.3,0.029
2025-10-07 14:00:00+00:00,10.2,31.0,0.0091,0.0,0.3,0.028
2025-10-07 15:00:00+00:00,14.0,37.0,0.0123,0.0,0.3,0.028
2025-10-07 16:00:00+00:00,13.2,38.0,0.0123,0.0,0.3,0.03
2025-10-07 17:00:00+00:00,14.4,33.0,0.0101,0.0,0.3,0.035
2025-10-07 18:00:00+00:00,16.0,32.0,0.0086,0.0,0.3,0.042
2025-10-07 19:00:00+00:00,14.9,32.0,0.0082,0.0,0.3,0.05
2025-10-07 20:00:00+00:00,13.9,37.0,0.0062,0.0,0.3,0.056
2025-10-07 21:00:00+00:00,10.8,36.0,0.0061,0.0,0.3,0.058
2025-10-07 22:00:00+00:00,11.3,31.0,0.006,0.0,0.2,0.056
2025-10-07 23:00:00+00:00,11.6,22.0,0.005,0.0,0.2,0.051
2025-10-08 00:00:00+00:00,11.4,28.0,0.0054,0.0,0.2,0.047
2025-10-08 01:00:00+00:00,9.4,23.0,0.0062,0.0,0.2,0.042
2025-10-08 02:00:00+00:00,5.9,19.0,0.0056,0.0,0.2,0.04
2025-10-08 03:00:00+00:00,7.2,18.0,0.0062,0.0,0.2,0.036
2025-10-08 04:00:00+00:00,6.9,22.0,0.0092,0.0,0.3,0.028
2025-10-08 05:00:00+00:00,6.2,18.0,0.0073,0.0,0.3,0.029
2025-10-08 06:00:00+00:00,4.9,13.0,0.0133,0.0,0.3,0.02
2025-10-08 07:00:00+00:00,4.5,19.0,0.0081,0.0,0.2,0.027
2025-10-08 08:00:00+00:00,4.1,16.0,0.0077,0.0,0.2,0.02
2025-10-08 09:00:00+00:00,5.0,19.0,0.0123,0.0,0.3,0.012
2025-10-08 10:00:00+00:00,4.4,16.0,0.0069,0.0,0.2,0.027
2025-10-08 11:00:00+00:00,5.5,14.0,0.0042,0.0,0.2,0.033
2025-10-08 12:00:00+00:00,9.3,24.0,0.0057,0.0,0.2,0.031
2025-10-08 13:00:00+00:00,14.1,23.0,0.0103,0.0,0.3,0.023
2025-10-08 14:00:00+00:00,11.3,27.0,0.0134,0.0,0.3,0.017
2025-10-08 15:00:00+00:00,15.7,29.0,0.0114,0.0,0.3,0.02
2025-10-08 16:00:00+00:00,17.4,33.0,0.0148,0.0,0.4,0.019
2025-10-08 17:00:00+00:00,16.6,38.0,0.0153,0.0,0.4,0.022
2025-10-08 18:00:00+00:00,16.7,38.0,0.0163,0.0,0.4,0.026
2025-10-08 19:00:00+00:00,20.0,39.0,0.0172,0.0,0.4,0.038
2025-10-08 20:00:00+00:00,15.5,38.0,0.0101,0.0001,0.3,0.054
2025-10-08 21:00:00+00:00,10.9,27.0,0.0085,0.0002,0.3,0.051
2025-10-08 22:00:00+00:00,14.0,29.0,0.0065,0.0001,0.2,0.052
2025-10-08 23:00:00+00:00,8.4,29.0,0.0051,0.0,0.2,0.048
2025-10-09 00:00:00+00:00,7.0,25.0,0.0044,0.0,0.2,0.041
2025-10-09 01:00:00+00:00,5.8,21.0,0.0048,0.0,0.2,0.038
2025-10-09 02:00:00+00:00,4.8,15.0,0.0043,0.0,0.2,0.033
2025-10-09 03:00:00+00:00,4.5,10.0,0.0043,0.0,0.2,0.032
2025-10-09 04:00:00+00:00,5.5,11.0,0.005,0.0,0.2,0.031
2025-10-09 05:00:00+00:00,9.1,27.0,0.0136,0.0,0.4,0.017
2025-10-09 06:00:00+00:00,8.6,19.0,0.0177,0.0,0.4,0.008
2025-10-09 07:00:00+00:00,7.2,19.0,0.021,0.0,0.5,0.002
2025-10-09 08:00:00+00:00,5.3,18.0,0.0215,0.0,0.5,0.0
2025-10-09 09:00:00+00:00,6.5,20.0,0.0222,0.0001,0.4,0.0
2025-10-09 10:00:00+00:00,6.7,15.0,0.0185,0.0001,0.4,0.001
2025-10-09 11:00:00+00:00,8.2,17.0,0.0198,0.0,0.4,0.001
2025-10-09 12:00:00+00:00,8.0,19.0,0.0213,0.0,0.5,0.0
2025-10-09 13:00:00+00:00,7.8,20.0,0.0222,0.0,0.5,0.002
2025-10-09 14:00:00+00:00,7.6,26.0,0.0187,0.0,0.4,0.007
2025-10-09 15:00:00+00:00,8.2,26.0,0.0186,,,0.01
2025-10-09 16:00:00+00:00,13.7,31.0,0.02,,,0.014
2025-10-09 17:00:00+00:00,9.7,30.0,0.0146,,,0.029
2025-10-09 18:00:00+00:00,16.0,33.0,0.0185,,,0.036
2025-10-09 19:00:00+00:00,11.7,29.0,0.0122,0.0002,0.4,0.052
2025-10-09 20:00:00+00:00,10.4,28.0,0.013,0.0003,0.3,0.047
2025-10-09 21:00:00+00:00,8.5,24.0,0.0089,0.0002,0.2,0.048
2025-10-09 22:00:00+00:00,7.7,22.0,0.0071,0.0002,0.2,0.051
2025-10-09 23:00:00+00:00,7.6,24.0,0.0065,0.0001,0.2,0.047
2025-10-10 00:00:00+00:00,9.1,19.0,0.0053,,,0.04
2025-10-10 01:00:00+00:00,5.6,18.0,0.0059,0.0,0.2,0.034
2025-10-10 02:00:00+00:00,4.1,13.0,0.0084,0.0,0.2,0.029
2025-10-10 03:00:00+00:00,6.8,16.0,0.0088,0.0,0.2,0.027
2025-10-10 04:00:00+00:00,8.3,13.0,0.0107,0.0,0.2,0.025
2025-10-10 05:00:00+00:00,8.6,20.0,0.0189,,,0.015
2025-10-10 06:00:00+00:00,7.6,23.0,0.0218,,,0.012
2025-10-10 07:00:00+00:00,6.3,25.0,0.0261,,,0.007
2025-10-10 08:00:00+00:00,13.1,21.0,0.0201,,,0.009
2025-10-10 09:00:00+00:00,10.0,20.0,0.02,,,0.009
2025-10-10 10:00:00+00:00,11.4,21.0,0.0186,,,0.009
2025-10-10 11:00:00+00:00,8.2,16.0,0.0168,,,0.01
2025-10-10 12:00:00+00:00,8.5,22.0,0.0241,,,0.003
2025-10-10 13:00:00+00:00,6.7,27.0,0.0218,,,0.006
2025-10-10 14:00:00+00:00,6.9,25.0,0.0228,,,0.006
2025-10-10 15:00:00+00:00,9.9,26.0,0.0186,,,0.016
2025-10-10 16:00:00+00:00,8.7,30.0,0.0188,,,0.02
2025-10-10 17:00:00+00:00,14.3,35.0,0.0214,0.0002,0.5,0.028
2025-10-10 18:00:00+00:00,10.2,34.0,0.0154,0.0002,0.5,0.046
2025-10-10 19:00:00+00:00,9.4,30.0,0.014,0.0002,0.4,0.055
2025-10-10 20:00:00+00:00,9.6,30.0,0.0116,0.0001,0.3,0.053
2025-10-10 21:00:00+00:00,12.0,31.0,0.0076,0.0002,0.3,0.062
2025-10-10 22:00:00+00:00,8.0,24.0,0.0063,0.0001,0.3,0.062
2025-10-10 23:00:00+00:00,5.6,23.0,0.0072,0.0001,0.3,0.05
2025-10-11 00:00:00+00:00,7.7,19.0,0.0164,0.0001,0.3,0.038
2025-10-11 01:00:00+00:00,7.3,29.0,0.0234,0.0004,0.3,0.027
2025-10-11 02:00:00+00:00,8.5,28.0,0.0221,0.0004,0.4,0.024
2025-10-11 03:00:00+00:00,13.0,31.0,0.024,0.0004,0.4,0.018
2025-10-11 04:00:00+00:00,11.0,31.0,0.0188,0.0003,0.3,0.021
2025-10-11 05:00:00+00:00,15.2,35.0,0.0246,0.0005,0.3,0.013
2025-10-11 06:00:00+00:00,12.6,30.0,0.0263,0.0004,0.4,0.008
2025-10-11 07:00:00+00:00,10.3,37.0,0.0313,0.0004,0.4,0.003
2025-10-11 08:00:00+00:00,14.0,38.0,0.0308,,,0.001
2025-10-11 09:00:00+00:00,12.9,37.0,0.0289,,,0.001
2025-10-11 10:00:00+00:00,11.5,32.0,0.0297,,,0.001
2025-10-11 11:00:00+00:00,9.0,33.0,0.0296,,,0.0
2025-10-11 12:00:00+00:00,7.8,31.0,0.0277,,,0.0
2025-10-11 13:00:00+00:00,6.7,30.0,0.0271,0.0002,0.5,0.001
2025-10-11 14:00:00+00:00,17.6,30.0,0.0247,0.0003,0.8,0.002
