datetime,pm25,pm10,no2,so2,co,o3
2025-06-29 00:00:00+00:00,9.6,23.0,0.0059,0.0002,0.2,0.051
2025-06-29 01:00:00+00:00,9.3,25.0,0.0052,0.0002,0.2,0.048
2025-06-29 02:00:00+00:00,13.2,19.0,0.0061,0.0002,0.2,0.053
2025-06-29 03:00:00+00:00,12.2,22.0,0.0072,0.0002,0.3,0.044
2025-06-29 04:00:00+00:00,8.2,20.0,0.0076,0.0001,0.3,0.032
2025-06-29 05:00:00+00:00,6.6,23.0,0.0092,0.0,0.3,0.025
2025-06-29 06:00:00+00:00,10.2,25.0,0.0076,0.0,0.3,0.029
2025-06-29 07:00:00+00:00,9.6,20.0,0.0065,0.0,0.3,0.029
2025-06-29 08:00:00+00:00,8.3,15.0,0.0055,0.0,0.2,0.028
2025-06-29 09:00:00+00:00,6.7,16.0,0.0061,0.0,0.2,0.026
2025-06-29 10:00:00+00:00,7.5,18.0,0.0069,0.0,0.2,0.023
2025-06-29 11:00:00+00:00,13.3,16.0,0.0088,0.0,0.2,0.018
2025-06-29 12:00:00+00:00,8.6,21.0,0.012,0.0,0.2,0.013
2025-06-29 13:00:00+00:00,9.9,25.0,0.0109,0.0,0.3,0.013
2025-06-29 14:00:00+00:00,8.9,24.0,0.0111,0.0001,0.3,0.016
2025-06-29 15:00:00+00:00,11.5,24.0,0.011,0.0002,0.3,0.024
2025-06-29 16:00:00+00:00,16.9,25.0,0.0124,0.0002,0.4,0.031
2025-06-29 17:00:00+00:00,18.3,23.0,0.0116,0.0003,0.3,0.045
2025-06-29 18:00:00+00:00,17.6,22.0,0.0077,0.0003,0.3,0.059
2025-06-29 19:00:00+00:00,11.5,26.0,0.0056,0.0002,0.3,0.058
2025-06-29 20:00:00+00:00,13.6,27.0,0.0048,0.0002,0.2,0.058
2025-06-29 21:00:00+00:00,12.0,20.0,0.0054,0.0002,0.2,0.057
2025-06-29 22:00:00+00:00,8.1,19.0,0.0038,0.0002,0.2,0.053
2025-06-29 23:00:00+00:00,4.8,13.0,0.0035,0.0001,0.2,0.049
