datetime,pm25,pm10,no2,so2,co,o3
2025-09-14 00:00:00+00:00,6.8,25.0,0.003,0.0,0.2,0.041
2025-09-14 01:00:00+00:00,10.6,19.0,0.0032,0.0,0.2,0.039
2025-09-14 02:00:00+00:00,8.9,23.0,0.0038,0.0,0.2,0.035
2025-09-14 03:00:00+00:00,8.7,21.0,0.0042,0.0,0.2,0.033
2025-09-14 04:00:00+00:00,10.9,22.0,0.0045,0.0,0.2,0.034
2025-09-14 05:00:00+00:00,8.3,27.0,0.0047,0.0,0.2,0.033
2025-09-14 06:00:00+00:00,8.1,22.0,0.0126,0.0,0.3,0.02
2025-09-14 07:00:00+00:00,10.5,28.0,0.0128,0.0,0.4,0.017
2025-09-14 08:00:00+00:00,12.2,29.0,0.0163,0.0003,0.4,0.01
2025-09-14 09:00:00+00:00,14.0,25.0,0.0107,0.0,0.3,0.018
2025-09-14 10:00:00+00:00,11.3,25.0,0.0096,0.0,0.2,0.022
2025-09-14 11:00:00+00:00,10.9,27.0,0.0081,0.0,0.3,0.021
2025-09-14 12:00:00+00:00,10.7,25.0,0.0114,0.0,0.3,0.013
2025-09-14 13:00:00+00:00,13.4,28.0,0.0158,0.0,0.4,0.007
2025-09-14 14:00:00+00:00,9.5,31.0,0.0098,0.0,0.3,0.017
2025-09-14 15:00:00+00:00,11.4,29.0,0.0079,0.0,0.3,0.02
2025-09-14 16:00:00+00:00,17.1,27.0,0.0112,0.0,0.3,0.023
2025-09-14 17:00:00+00:00,16.1,22.0,0.0116,0.0,0.3,0.026
2025-09-14 18:00:00+00:00,13.6,30.0,0.0105,0.0,0.3,0.032
2025-09-14 19:00:00+00:00,15.8,37.0,0.0107,0.0,0.4,0.042
2025-09-14 20:00:00+00:00,16.9,38.0,0.0087,0.0,0.4,0.061
2025-09-14 21:00:00+00:00,19.4,35.0,0.0055,0.0,0.3,0.068
2025-09-14 22:00:00+00:00,12.9,35.0,0.005,0.0,0.2,0.063
2025-09-14 23:00:00+00:00,9.9,34.0,0.0044,0.0,0.2,0.056
2025-09-15 00:00:00+00:00,9.4,24.0,0.0042,0.0,0.2,0.048
2025-09-15 01:00:00+00:00,11.1,26.0,0.0039,,0.2,0.043
2025-09-15 02:00:00+00:00,12.1,29.0,0.0047,0.0,0.2,0.038
2025-09-15 03:00:00+00:00,10.8,26.0,0.0048,0.0,0.2,0.036
2025-09-15 04:00:00+00:00,11.8,27.0,0.0049,0.0,0.2,0.034
2025-09-15 05:00:00+00:00,10.0,26.0,0.0058,0.0,0.3,0.031
2025-09-15 06:00:00+00:00,9.3,21.0,0.0122,0.0,0.3,0.021
2025-09-15 07:00:00+00:00,11.6,22.0,0.0142,0.0,0.3,0.021
2025-09-15 08:00:00+00:00,11.6,22.0,0.015,0.0,0.4,0.01
