datetime,pm25,pm10,no2,so2,co,o3
2025-11-16 02:00:00+00:00,2.3,2.0,0.006,0.0,0.2,0.037
2025-11-16 03:00:00+00:00,2.5,2.0,0.007,0.0,0.2,0.033
2025-11-16 04:00:00+00:00,1.9,0.0,0.0071,0.0,0.2,0.031
2025-11-16 05:00:00+00:00,2.8,2.0,0.0085,0.0,0.2,0.029
2025-11-16 06:00:00+00:00,3.8,3.0,0.008,0.0,0.2,0.031
2025-11-16 07:00:00+00:00,2.8,2.0,0.0134,0.0,0.2,0.026
2025-11-16 08:00:00+00:00,1.9,6.0,0.0131,0.0,0.2,0.022
2025-11-16 09:00:00+00:00,3.3,7.0,0.017,0.0,0.3,0.018
2025-11-16 10:00:00+00:00,4.0,5.0,0.0098,0.0,0.2,0.023
2025-11-16 11:00:00+00:00,2.0,5.0,0.0064,0.0,0.2,0.026
2025-11-16 12:00:00+00:00,3.1,4.0,0.006,0.0,0.2,0.026
2025-11-16 13:00:00+00:00,3.4,8.0,0.0064,0.0,0.2,0.026
2025-11-16 14:00:00+00:00,3.2,6.0,0.0042,0.0,0.2,0.032
2025-11-16 15:00:00+00:00,1.8,6.0,0.0053,0.0,0.2,0.032
2025-11-17 05:00:00+00:00,1.5,5.0,0.0048,0.0,0.2,0.032
2025-11-17 14:00:00+00:00,1.3,3.0,0.0073,0.0,0.2,0.028
2025-11-17 17:00:00+00:00,2.3,4.0,0.0084,0.0,0.2,0.031
2025-11-17 18:00:00+00:00,3.3,2.0,0.0076,0.0,0.2,0.034
2025-11-17 19:00:00+00:00,2.2,5.0,0.01,0.0,0.2,0.032
2025-11-17 20:00:00+00:00,-1.1,4.0,0.0126,0.0,0.2,0.029
2025-11-17 23:00:00+00:00,4.6,4.0,0.0077,0.0,0.2,0.035
2025-11-18 00:00:00+00:00,2.1,4.0,0.0137,0.0,0.2,0.027
2025-11-18 02:00:00+00:00,1.4,0.0,0.0053,0.0,0.2,0.037
2025-11-18 03:00:00+00:00,2.2,-1.0,0.0062,0.0,0.2,0.034
2025-11-18 04:00:00+00:00,1.3,-1.0,0.007,0.0,0.2,0.033
2025-11-18 05:00:00+00:00,1.9,1.0,0.0067,0.0,0.2,0.032
2025-11-18 06:00:00+00:00,1.6,9.0,0.0105,0.0,0.2,0.024
2025-11-18 07:00:00+00:00,3.6,6.0,0.0125,0.0,0.3,0.022
2025-11-18 08:00:00+00:00,8.7,6.0,0.0116,0.0,0.2,0.019
2025-11-18 11:00:00+00:00,3.2,5.0,0.0123,0.0,0.2,0.013
2025-11-18 12:00:00+00:00,-0.5,6.0,0.0181,0.0,0.2,0.007
2025-11-18 13:00:00+00:00,1.7,6.0,0.0222,0.0,0.3,0.004
2025-11-18 14:00:00+00:00,2.3,8.0,0.0254,0.0001,0.6,0.001
2025-11-18 15:00:00+00:00,2.4,8.0,0.0168,0.0,0.3,0.012
2025-11-18 17:00:00+00:00,3.2,12.0,0.0133,0.0001,0.2,0.023
2025-11-18 18:00:00+00:00,5.4,16.0,0.0122,0.0001,0.2,0.028
2025-11-18 19:00:00+00:00,5.2,12.0,0.0094,0.0001,0.2,0.032
2025-11-18 22:00:00+00:00,5.6,11.0,0.0069,0.0,0.2,0.038
2025-11-18 23:00:00+00:00,6.4,8.0,0.0081,0.0,0.2,0.036
2025-11-19 04:00:00+00:00,7.0,20.0,0.029,0.0001,0.6,0.003
2025-11-19 05:00:00+00:00,5.6,22.0,0.027,0.0001,0.8,0.001
2025-11-19 06:00:00+00:00,13.2,19.0,0.023,0.0001,0.7,0.001
2025-11-19 07:00:00+00:00,13.8,17.0,0.021,0.0001,0.7,0.001
2025-11-19 08:00:00+00:00,9.7,13.0,0.02,0.0001,0.6,0.001
2025-11-19 19:00:00+00:00,5.3,11.0,0.0065,,,0.037
2025-11-19 22:00:00+00:00,5.4,10.0,0.0058,,,0.042
2025-11-19 23:00:00+00:00,3.6,10.0,0.005,,,0.04
2025-11-20 02:00:00+00:00,5.4,10.0,0.01,0.0002,0.3,0.029
2025-11-20 04:00:00+00:00,7.9,16.0,0.0231,0.0002,0.5,0.006
2025-11-20 05:00:00+00:00,10.3,21.0,0.0259,0.0003,0.7,0.001
2025-11-20 07:00:00+00:00,13.4,20.0,0.0229,0.0004,0.7,0.0
2025-11-20 14:00:00+00:00,11.5,19.0,0.0201,0.0005,0.6,0.0
2025-11-20 15:00:00+00:00,8.8,21.0,0.0177,0.0004,0.5,0.004
2025-11-20 16:00:00+00:00,10.1,18.0,0.017,0.0003,0.3,0.011
2025-11-20 17:00:00+00:00,10.6,24.0,0.0145,0.0003,0.3,0.018
2025-11-20 18:00:00+00:00,8.6,21.0,0.0142,0.0003,0.3,0.022
2025-11-20 19:00:00+00:00,7.7,15.0,0.0112,0.0002,0.2,0.029
2025-11-20 20:00:00+00:00,5.0,17.0,0.0122,0.0002,0.2,0.027
2025-11-20 21:00:00+00:00,5.6,12.0,0.0112,0.0002,0.2,0.03
2025-11-20 22:00:00+00:00,5.3,10.0,0.0135,0.0001,0.2,0.028
2025-11-20 23:00:00+00:00,5.1,7.0,0.0166,0.0001,0.2,0.024
2025-11-21 00:00:00+00:00,4.0,7.0,0.0106,0.0,0.2,0.028
2025-11-21 01:00:00+00:00,3.0,5.0,0.0087,0.0001,0.2,0.032
2025-11-21 02:00:00+00:00,2.5,5.0,0.0079,0.0001,0.2,0.033
2025-11-21 03:00:00+00:00,3.7,4.0,0.0041,0.0,0.1,0.037
2025-11-21 04:00:00+00:00,2.1,2.0,0.0043,0.0,0.1,0.036
2025-11-21 05:00:00+00:00,-1.1,2.0,0.0031,0.0,0.1,0.038
2025-11-21 06:00:00+00:00,1.6,3.0,0.0035,0.0001,0.1,0.037
2025-11-21 07:00:00+00:00,2.5,1.0,0.0033,0.0001,0.1,0.036
2025-11-21 08:00:00+00:00,0.8,11.0,0.0027,0.0001,0.1,0.034
2025-11-21 09:00:00+00:00,-0.1,6.0,0.0034,0.0001,0.1,0.033
2025-11-21 10:00:00+00:00,0.0,13.0,0.005,0.0001,0.1,0.032
2025-11-21 11:00:00+00:00,1.2,7.0,0.003,0.0,0.1,0.033
2025-11-21 12:00:00+00:00,1.9,0.0,0.0029,0.0001,0.1,0.034
2025-11-21 13:00:00+00:00,2.0,0.0,0.0037,0.0001,0.2,0.036
2025-11-21 14:00:00+00:00,-0.1,1.0,0.0065,0.0001,0.2,0.035
2025-11-21 15:00:00+00:00,-1.6,3.0,0.015,0.0001,0.2,0.026
2025-11-21 16:00:00+00:00,0.5,5.0,0.0087,0.0001,0.2,0.032
2025-11-21 17:00:00+00:00,3.3,5.0,0.0069,0.0001,0.2,0.033
