datetime,pm25,pm10,no2,so2,co,o3
2025-08-17 00:00:00+00:00,7.2,15.0,0.0035,0.0001,0.2,0.041
2025-08-17 01:00:00+00:00,5.3,13.0,0.0031,0.0001,0.1,0.04
2025-08-17 02:00:00+00:00,6.4,18.0,0.0038,0.0001,0.2,0.039
2025-08-17 03:00:00+00:00,10.0,19.0,0.0036,0.0001,0.2,0.036
2025-08-17 04:00:00+00:00,8.8,19.0,0.0043,0.0001,0.2,0.033
2025-08-17 05:00:00+00:00,10.2,17.0,0.0043,0.0001,0.2,0.031
2025-08-17 06:00:00+00:00,7.2,17.0,0.007,0.0,0.2,0.027
2025-08-17 07:00:00+00:00,6.7,13.0,0.0119,0.0,0.3,0.019
2025-08-17 08:00:00+00:00,6.8,21.0,0.0141,0.0,0.3,0.013
2025-08-17 09:00:00+00:00,6.5,14.0,0.0171,0.0001,0.3,0.011
2025-08-17 10:00:00+00:00,12.7,17.0,0.0147,0.0001,0.3,0.016
2025-08-17 11:00:00+00:00,13.6,24.0,0.0089,0.0001,0.2,0.023
2025-08-17 12:00:00+00:00,11.2,21.0,0.0052,0.0,0.2,0.027
2025-08-17 13:00:00+00:00,10.7,19.0,0.0051,0.0,0.2,0.026
2025-08-17 14:00:00+00:00,14.8,20.0,0.0062,0.0,0.2,0.026
2025-08-17 15:00:00+00:00,12.7,25.0,0.0077,0.0,0.2,0.026
2025-08-17 16:00:00+00:00,11.4,23.0,0.0082,0.0001,0.2,0.029
2025-08-17 17:00:00+00:00,10.8,26.0,0.0073,0.0001,0.3,0.038
2025-08-17 18:00:00+00:00,14.8,21.0,0.0057,0.0002,0.2,0.051
2025-08-17 19:00:00+00:00,12.5,24.0,0.0053,0.0003,0.2,0.061
2025-08-17 20:00:00+00:00,17.6,27.0,0.0073,0.0008,0.2,0.06
2025-08-17 21:00:00+00:00,12.7,27.0,0.005,0.0005,0.2,0.06
2025-08-17 22:00:00+00:00,12.6,23.0,0.004,0.0004,0.2,0.056
2025-08-17 23:00:00+00:00,10.2,19.0,0.0033,0.0002,0.2,0.05
2025-08-18 00:00:00+00:00,5.6,15.0,0.0034,0.0001,0.2,0.043
2025-08-18 01:00:00+00:00,4.6,13.0,0.0033,0.0001,0.2,0.041
2025-08-18 02:00:00+00:00,8.2,14.0,0.0047,0.0001,0.2,0.033
2025-08-18 03:00:00+00:00,8.3,16.0,0.0048,0.0001,0.2,0.029
2025-08-18 04:00:00+00:00,6.6,13.0,0.0064,0.0,0.2,0.024
2025-08-18 05:00:00+00:00,6.9,17.0,0.0089,0.0,0.2,0.021
2025-08-18 06:00:00+00:00,6.8,13.0,0.0154,0.0002,0.2,0.013
2025-08-18 07:00:00+00:00,4.6,12.0,0.0173,0.0002,0.3,0.01
2025-08-18 08:00:00+00:00,6.9,20.0,0.02,0.0002,0.3,0.004
2025-08-18 09:00:00+00:00,10.0,20.0,0.02,0.0002,0.4,0.001
2025-08-18 10:00:00+00:00,9.1,13.0,0.0168,0.0002,0.2,0.008
2025-08-18 11:00:00+00:00,8.3,19.0,0.0083,0.0,0.2,0.019
2025-08-18 12:00:00+00:00,10.4,23.0,0.0077,0.0,0.2,0.022
2025-08-18 13:00:00+00:00,15.2,23.0,0.0121,0.0,0.3,0.018
2025-08-18 14:00:00+00:00,15.9,26.0,0.014,0.0001,0.3,0.017
2025-08-18 15:00:00+00:00,14.0,27.0,0.0123,0.0001,0.3,0.02
2025-08-18 16:00:00+00:00,14.6,27.0,0.0146,0.0002,0.3,0.025
2025-08-18 17:00:00+00:00,11.6,42.0,0.0226,0.0002,0.4,0.03
2025-08-18 18:00:00+00:00,11.8,43.0,0.0185,0.0004,0.4,0.05
2025-08-18 19:00:00+00:00,12.9,35.0,0.0133,0.0004,0.3,0.059
2025-08-18 20:00:00+00:00,15.9,38.0,0.0096,0.0005,0.3,0.064
2025-08-18 21:00:00+00:00,11.3,33.0,0.0064,0.0003,0.3,0.066
2025-08-18 22:00:00+00:00,10.8,24.0,0.0055,0.0002,0.2,0.063
2025-08-18 23:00:00+00:00,9.4,23.0,0.0058,0.0002,0.2,0.055
2025-08-19 00:00:00+00:00,9.7,24.0,0.0052,0.0002,0.2,0.055
2025-08-19 01:00:00+00:00,6.7,24.0,0.0055,0.0001,0.2,0.051
2025-08-19 02:00:00+00:00,5.9,16.0,0.0064,0.0001,0.2,0.036
2025-08-19 03:00:00+00:00,5.9,18.0,0.0083,0.0001,0.3,0.027
2025-08-19 04:00:00+00:00,6.4,17.0,0.0092,0.0001,0.3,0.02
2025-08-19 05:00:00+00:00,9.3,18.0,0.0127,0.0001,0.3,0.015
2025-08-19 06:00:00+00:00,5.8,23.0,0.0148,0.0001,0.4,0.009
2025-08-19 07:00:00+00:00,7.0,20.0,0.0159,0.0001,0.4,0.006
2025-08-19 08:00:00+00:00,7.1,16.0,0.0125,0.0001,0.3,0.008
2025-08-19 09:00:00+00:00,9.1,20.0,0.0207,0.0002,0.4,0.0
2025-08-19 10:00:00+00:00,9.3,22.0,0.0223,0.0002,0.4,0.0
2025-08-19 11:00:00+00:00,8.4,24.0,0.0226,0.0001,0.3,0.002
2025-08-19 12:00:00+00:00,14.8,26.0,0.0244,0.0002,0.3,0.001
2025-08-19 13:00:00+00:00,15.8,24.0,0.0195,0.0001,0.3,0.007
2025-08-19 14:00:00+00:00,17.2,28.0,0.0185,0.0001,0.3,0.009
2025-08-19 15:00:00+00:00,20.1,35.0,0.0192,0.0002,0.4,0.013
2025-08-19 16:00:00+00:00,15.6,38.0,0.0229,0.0003,0.4,0.017
2025-08-19 17:00:00+00:00,18.3,46.0,0.0258,0.0004,0.4,0.029
2025-08-19 18:00:00+00:00,20.0,41.0,0.0215,0.0003,0.4,0.046
2025-08-19 19:00:00+00:00,14.0,32.0,0.0143,0.0004,0.3,0.056
2025-08-19 20:00:00+00:00,15.4,36.0,0.016,0.0007,0.3,0.049
2025-08-19 21:00:00+00:00,10.2,32.0,0.0082,0.0005,0.2,0.055
2025-08-19 22:00:00+00:00,10.2,24.0,0.0059,0.0005,0.2,0.053
2025-08-19 23:00:00+00:00,8.3,22.0,0.0047,0.0002,0.2,0.046
2025-08-20 00:00:00+00:00,8.3,24.0,0.0043,0.0002,0.2,0.045
2025-08-20 01:00:00+00:00,8.0,17.0,0.0053,0.0002,0.2,0.038
2025-08-20 02:00:00+00:00,6.3,22.0,0.0067,0.0002,0.2,0.031
2025-08-20 03:00:00+00:00,5.4,20.0,0.008,0.0001,0.2,0.025
2025-08-20 04:00:00+00:00,6.0,18.0,0.011,0.0002,0.3,0.022
2025-08-20 05:00:00+00:00,14.2,32.0,0.0156,0.0003,0.3,0.016
2025-08-20 06:00:00+00:00,10.8,24.0,0.0276,0.0003,0.3,0.004
2025-08-20 07:00:00+00:00,9.5,30.0,0.0251,0.0003,0.4,0.003
2025-08-20 08:00:00+00:00,12.9,31.0,0.0243,0.0002,0.4,0.001
2025-08-20 09:00:00+00:00,11.2,29.0,0.025,0.0003,0.5,0.0
2025-08-20 10:00:00+00:00,10.3,22.0,0.0243,0.0003,0.5,0.0
2025-08-20 11:00:00+00:00,10.4,26.0,0.0219,0.0003,0.5,0.0
2025-08-20 12:00:00+00:00,15.1,31.0,0.0216,0.0003,0.5,0.001
2025-08-20 13:00:00+00:00,9.5,30.0,0.0218,0.0005,0.9,0.001
2025-08-20 14:00:00+00:00,13.9,34.0,0.0235,0.0005,0.8,0.003
2025-08-20 15:00:00+00:00,11.8,31.0,0.0207,0.0004,0.4,0.013
2025-08-20 16:00:00+00:00,9.9,34.0,0.0215,0.0005,0.4,0.022
2025-08-20 17:00:00+00:00,12.1,39.0,0.0295,0.0006,0.6,0.025
2025-08-20 18:00:00+00:00,15.8,45.0,0.0246,0.0006,0.6,0.053
2025-08-20 19:00:00+00:00,13.9,43.0,0.0148,0.0005,0.4,0.066
2025-08-20 20:00:00+00:00,13.1,38.0,0.0108,0.0007,0.3,0.064
2025-08-20 21:00:00+00:00,13.4,33.0,0.0054,0.0005,0.2,0.064
2025-08-20 22:00:00+00:00,8.9,33.0,0.005,0.0004,0.2,0.058
2025-08-20 23:00:00+00:00,9.1,29.0,0.0049,0.0003,0.2,0.054
2025-08-21 00:00:00+00:00,8.7,30.0,0.0044,0.0002,0.2,0.052
2025-08-21 01:00:00+00:00,7.2,31.0,0.0058,0.0003,0.2,0.049
2025-08-21 02:00:00+00:00,16.0,28.0,0.0066,0.0002,0.2,0.041
2025-08-21 03:00:00+00:00,7.2,35.0,0.0091,0.0002,0.3,0.031
2025-08-21 04:00:00+00:00,10.3,33.0,0.0105,0.0001,0.3,0.029
2025-08-21 05:00:00+00:00,9.0,32.0,0.0217,0.0002,0.3,0.019
2025-08-21 06:00:00+00:00,11.2,27.0,0.0206,0.0002,0.4,0.015
2025-08-21 07:00:00+00:00,11.9,30.0,0.0239,0.0002,0.4,0.009
2025-08-21 08:00:00+00:00,11.5,28.0,0.0286,0.0003,0.4,0.006
2025-08-21 09:00:00+00:00,15.1,35.0,0.0271,0.0003,0.4,0.005
2025-08-21 10:00:00+00:00,10.7,36.0,0.029,0.0003,0.4,0.002
2025-08-21 11:00:00+00:00,13.3,30.0,0.03,0.0002,0.5,0.001
2025-08-21 12:00:00+00:00,10.8,39.0,0.0309,0.0003,0.8,0.001
2025-08-21 13:00:00+00:00,17.9,41.0,0.0304,0.0004,0.9,0.001
2025-08-21 14:00:00+00:00,12.8,40.0,0.0292,0.0004,0.8,0.004
