datetime,pm25,pm10,no2,so2,co,o3
2025-06-08 00:00:00+00:00,7.1,23.0,0.0032,0.0,0.2,0.036
2025-06-08 01:00:00+00:00,6.9,14.0,0.003,0.0,0.2,0.032
2025-06-08 02:00:00+00:00,11.4,15.0,0.0035,0.0,0.2,0.031
2025-06-08 03:00:00+00:00,7.8,14.0,0.0034,0.0,0.2,0.029
2025-06-08 04:00:00+00:00,6.6,11.0,0.0032,0.0,0.2,0.03
2025-06-08 05:00:00+00:00,5.4,13.0,0.0042,0.0,0.2,0.029
2025-06-08 06:00:00+00:00,6.6,10.0,0.0034,0.0,0.2,0.027
2025-06-08 07:00:00+00:00,6.6,12.0,0.0031,0.0,0.2,0.028
2025-06-08 08:00:00+00:00,5.7,13.0,0.0067,0.0,0.2,0.025
2025-06-08 09:00:00+00:00,7.8,16.0,0.0073,0.0,0.2,0.023
2025-06-08 10:00:00+00:00,13.8,17.0,0.0073,0.0,0.1,0.024
2025-06-08 11:00:00+00:00,12.6,14.0,0.0079,0.0,0.2,0.024
2025-06-08 12:00:00+00:00,10.9,21.0,0.0066,0.0,0.1,0.024
2025-06-08 13:00:00+00:00,13.8,17.0,0.0084,0.0,0.2,0.024
2025-06-08 14:00:00+00:00,13.6,18.0,0.0073,0.0,0.2,0.024
2025-06-08 15:00:00+00:00,13.8,17.0,0.0078,0.0,0.2,0.025
2025-06-08 16:00:00+00:00,14.6,21.0,0.008,0.0,0.2,0.026
2025-06-08 17:00:00+00:00,13.3,28.0,0.0101,0.0,0.2,0.028
2025-06-08 18:00:00+00:00,20.2,26.0,0.01,0.0,0.2,0.032
2025-06-08 19:00:00+00:00,23.4,33.0,0.0086,0.0,0.3,0.041
2025-06-08 20:00:00+00:00,20.0,31.0,0.0073,0.0,0.3,0.048
2025-06-08 21:00:00+00:00,16.3,26.0,0.0066,0.0001,0.2,0.05
2025-06-08 22:00:00+00:00,15.0,21.0,0.0071,0.0001,0.2,0.047
2025-06-08 23:00:00+00:00,16.3,12.0,0.005,0.0001,0.2,0.049
2025-06-09 00:00:00+00:00,12.1,16.0,0.0038,0.0,0.2,0.047
2025-06-09 01:00:00+00:00,8.5,13.0,0.0032,0.0,0.2,0.037
2025-06-09 02:00:00+00:00,10.6,15.0,0.0035,0.0,0.2,0.029
2025-06-09 03:00:00+00:00,9.2,14.0,0.004,0.0,0.2,0.027
2025-06-09 04:00:00+00:00,8.3,16.0,0.0052,0.0,0.2,0.025
