datetime,pm25,pm10,no2,so2,co,o3
2025-07-06 00:00:00+00:00,28.2,40.0,0.0053,0.0002,0.2,0.061
2025-07-06 01:00:00+00:00,18.1,33.0,0.0044,0.0003,0.2,0.054
2025-07-06 02:00:00+00:00,15.2,24.0,0.0046,0.0002,0.2,0.04
2025-07-06 03:00:00+00:00,11.4,27.0,0.0062,0.0002,0.2,0.031
2025-07-06 04:00:00+00:00,12.5,28.0,0.0073,0.0001,0.3,0.024
2025-07-06 05:00:00+00:00,11.7,32.0,0.0088,0.0001,0.3,0.021
2025-07-06 06:00:00+00:00,12.1,25.0,0.0126,0.0001,0.3,0.013
2025-07-06 07:00:00+00:00,11.0,28.0,0.0116,0.0001,0.3,0.012
2025-07-06 08:00:00+00:00,12.9,23.0,0.0174,0.0001,0.3,0.005
2025-07-06 09:00:00+00:00,12.5,20.0,0.0152,0.0001,0.3,0.007
2025-07-06 10:00:00+00:00,11.1,26.0,0.0165,0.0002,0.3,0.004
2025-07-06 11:00:00+00:00,8.0,25.0,0.0166,0.0002,0.3,0.005
2025-07-06 12:00:00+00:00,8.8,25.0,0.0165,0.0002,0.4,0.002
2025-07-06 13:00:00+00:00,12.1,23.0,0.0147,0.0002,0.4,0.003
2025-07-06 14:00:00+00:00,18.1,35.0,0.0165,0.0006,0.4,0.01
2025-07-06 15:00:00+00:00,20.4,38.0,0.0164,0.0006,0.3,0.016
2025-07-06 16:00:00+00:00,22.3,36.0,0.0125,0.0006,0.3,0.025
2025-07-06 17:00:00+00:00,17.7,36.0,0.0106,0.0006,0.3,0.04
2025-07-06 18:00:00+00:00,22.4,36.0,0.0082,0.0006,0.3,0.057
2025-07-06 19:00:00+00:00,15.4,32.0,0.0082,0.0009,0.2,0.055
2025-07-06 20:00:00+00:00,14.3,35.0,0.0052,0.0005,0.2,0.054
2025-07-06 21:00:00+00:00,14.8,31.0,0.0045,0.0004,0.2,0.054
2025-07-06 22:00:00+00:00,16.2,30.0,0.0043,0.0004,0.2,0.053
2025-07-06 23:00:00+00:00,12.8,25.0,0.0039,0.0002,0.2,0.047
2025-07-07 00:00:00+00:00,8.7,24.0,0.004,0.0002,0.2,0.043
2025-07-07 01:00:00+00:00,10.4,19.0,0.0036,0.0002,0.2,0.042
2025-07-07 02:00:00+00:00,9.3,27.0,0.0043,0.0002,0.2,0.037
2025-07-07 03:00:00+00:00,7.3,29.0,0.0049,0.0002,0.2,0.034
2025-07-07 04:00:00+00:00,8.7,26.0,0.0056,0.0001,0.3,0.029
2025-07-07 05:00:00+00:00,7.5,24.0,0.0053,0.0001,0.3,0.027
2025-07-07 06:00:00+00:00,9.2,19.0,0.0048,0.0002,0.2,0.024
2025-07-07 07:00:00+00:00,8.3,17.0,0.0047,0.0001,0.2,0.024
2025-07-07 08:00:00+00:00,4.8,21.0,0.0103,0.0001,0.2,0.015
2025-07-07 09:00:00+00:00,3.5,17.0,0.0128,0.0001,0.3,0.012
2025-07-07 10:00:00+00:00,5.1,26.0,0.0054,0.0001,0.2,0.021
2025-07-07 11:00:00+00:00,6.8,25.0,0.0054,0.0001,0.2,0.022
2025-07-07 12:00:00+00:00,8.6,28.0,0.0093,0.0001,0.2,0.019
2025-07-07 13:00:00+00:00,14.4,28.0,0.0137,0.0001,0.2,0.016
2025-07-07 14:00:00+00:00,19.4,32.0,0.014,0.0001,0.3,0.016
2025-07-07 15:00:00+00:00,20.4,31.0,0.0157,0.0001,0.3,0.018
2025-07-07 16:00:00+00:00,20.1,38.0,0.0148,0.0001,0.3,0.024
2025-07-07 17:00:00+00:00,24.5,48.0,0.0216,0.0003,0.4,0.025
2025-07-07 18:00:00+00:00,22.7,50.0,0.019,0.0003,0.4,0.041
2025-07-07 19:00:00+00:00,22.5,43.0,0.0114,0.0003,0.3,0.062
2025-07-07 20:00:00+00:00,15.4,44.0,0.0075,0.0003,0.3,0.063
2025-07-07 21:00:00+00:00,20.0,44.0,0.0065,0.0003,0.2,0.064
2025-07-07 22:00:00+00:00,11.8,33.0,0.0058,0.0002,0.2,0.058
2025-07-07 23:00:00+00:00,10.8,28.0,0.0048,0.0002,0.2,0.05
2025-07-08 00:00:00+00:00,12.2,24.0,0.0054,0.0002,0.2,0.052
2025-07-08 01:00:00+00:00,9.4,28.0,0.0054,0.0002,0.2,0.047
2025-07-08 02:00:00+00:00,8.8,26.0,0.0045,0.0001,0.2,0.038
2025-07-08 03:00:00+00:00,6.7,15.0,0.004,0.0001,0.2,0.03
2025-07-08 04:00:00+00:00,6.3,17.0,0.0041,0.0,0.2,0.026
2025-07-08 05:00:00+00:00,6.3,19.0,0.0049,0.0,0.2,0.024
2025-07-08 06:00:00+00:00,3.9,16.0,0.006,0.0,0.2,0.023
